"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "TypeScript", "Swift", "HTML", "JavaScript", "PostCSS", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class\temp_product_class.g.dart", "Dart", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 4, 8, 120
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class\unsynced\created_products\created_products.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class\unsynced\created_products\created_products.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class\unsynced\deleted_products\deleted_products.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class\unsynced\deleted_products\deleted_products.g.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 8, 45
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class\unsynced\sales_product\sales_products.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class\unsynced\sales_product\sales_products.g.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 8, 45
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class\unsynced\updated\updated_products.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class\unsynced\updated\updated_products.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_sale_record.dart", "Dart", 0, 0, 0, 0, -95, 0, 0, 0, 0, 0, 0, 0, 0, -4, -99
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_slaes_record\temp_product_sale_record.dart", "Dart", 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 33, 246
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_slaes_record\temp_product_sale_record.g.dart", "Dart", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 4, 8, 120
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_slaes_record\unsynced\created_records\created_records.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_slaes_record\unsynced\created_records\created_records.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_shop\temp_shop_class.dart", "Dart", 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 16, 51, 312
"c:\MAIN FLUTTER\stockall\lib\classes\temp_shop\temp_shop_class.g.dart", "Dart", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 4, 8, 171
