Date : 2026-02-25 17:55:38
Directory : c:\MAIN FLUTTER\stockall
Total : 501 files,  176323 codes, 7788 comments, 3665 blanks, all 187776 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| lib\pages\shop_setup\edit_receipt_page (Files)                                                                                      |          1 |         26 |          0 |          3 |         29 |
| lib\pages\shop_setup\edit_receipt_page\platforms                                                                                    |          2 |      3,122 |         56 |         42 |      3,220 |
| lib\pages\shop_setup\shop_page                                                                                                      |          3 |      1,881 |          2 |         14 |      1,897 |
| lib\pages\shop_setup\shop_page (Files)                                                                                              |          1 |         -1 |          0 |          0 |         -1 |
| lib\pages\shop_setup\shop_page\platforms                                                                                            |          2 |      1,882 |          2 |         14 |      1,898 |
| lib\pages\shop_setup\shop_setup_one                                                                                                 |          3 |        608 |         34 |         23 |        665 |
| lib\pages\shop_setup\shop_setup_two                                                                                                 |          3 |      7,218 |         44 |        134 |      7,396 |
| lib\pages\subscription_page                                                                                                         |          6 |      2,497 |          4 |         44 |      2,545 |
| lib\pages\subscription_page (Files)                                                                                                 |          1 |        364 |          0 |         10 |        374 |
| lib\pages\subscription_page\components                                                                                              |          5 |      2,133 |          4 |         34 |      2,171 |
| lib\providers                                                                                                                       |         20 |      7,123 |        688 |        523 |      8,334 |
| lib\services                                                                                                                        |         11 |        435 |        187 |         78 |        700 |
| lib\services (Files)                                                                                                                |          1 |        217 |         -1 |         22 |        238 |
| lib\services\barcode_generation                                                                                                     |          4 |        186 |          7 |         34 |        227 |
| lib\services\notification_service                                                                                                   |          1 |          0 |         28 |          8 |         36 |
| lib\services\payment_result_page.dart                                                                                               |          1 |        206 |          0 |         14 |        220 |
| lib\services\printing                                                                                                               |          2 |       -327 |        153 |        -17 |       -191 |
| lib\services\sub_payment_serice.dart                                                                                                |          2 |        153 |          0 |         17 |        170 |
| linux                                                                                                                               |          2 |         25 |          0 |          0 |         25 |
| linux\flutter                                                                                                                       |          2 |         25 |          0 |          0 |         25 |
| macos                                                                                                                               |          2 |         10 |          0 |         -1 |          9 |
| macos\Flutter                                                                                                                       |          1 |         10 |          0 |          0 |         10 |
| macos\Runner                                                                                                                        |          1 |          0 |          0 |         -1 |         -1 |
| macos\Runner\Assets.xcassets                                                                                                        |          1 |          0 |          0 |         -1 |         -1 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                     |          1 |          0 |          0 |         -1 |         -1 |
| supabase                                                                                                                            |          6 |        299 |         11 |         50 |        360 |
| supabase\functions                                                                                                                  |          6 |        299 |         11 |         50 |        360 |
| supabase\functions\delete-user                                                                                                      |          2 |         44 |          2 |         10 |         56 |
| supabase\functions\initiate-subscription-payment                                                                                    |          2 |        106 |          3 |         18 |        127 |
| supabase\functions\verify-subscription-payment                                                                                      |          2 |        149 |          6 |         22 |        177 |
| test                                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| web                                                                                                                                 |          2 |          0 |          0 |          2 |          2 |
| windows                                                                                                                             |          3 |         32 |          0 |          2 |         34 |
| windows (Files)                                                                                                                     |          1 |          4 |          0 |          2 |          6 |
